artifact_path,artifact_type,phase,title,purpose,recommended_placement,supported_claim,readiness,caveat,action_needed,exists,size_bytes
/home/zhixian/AuthView-VDB/artifacts/figures/main_acl_class_compression.pdf,figure,7B,ACL-class compression vs N_acl,RQ3 gate reduction when N_acl << N_sel,main_paper,Claim 4,partial,repeat=1 in some runs; verify repeat=3 CSV,Confirm repeat=3 summary in caption,True,14694
/home/zhixian/AuthView-VDB/artifacts/figures/main_acl_class_prove_time.pdf,figure,7B,ACL-class prove time,RQ3 time benefit of ACL-class path,appendix,Claim 4,partial,Paired with compression figure,Same repeat caveat,True,13145
/home/zhixian/AuthView-VDB/artifacts/figures/main_auth_overlay_underfill.pdf,figure,9A,Post-filter underfill rate vs selectivity,Quantify post-filter semantic failure (underfill),main_paper,Claim 1,ready,candidate_level trace overlay,Pair with utility gap figure,True,22582
/home/zhixian/AuthView-VDB/artifacts/figures/main_auth_overlay_utility_gap.pdf,figure,9A,Authorization utility gap vs selectivity,Post-filter vs candidate-level authorized recall gap,main_paper,"Claim 1, Claim 2",ready,reference_scope=candidate_level (pred depth 100),State candidate-level scope in caption,True,21727
/home/zhixian/AuthView-VDB/artifacts/figures/main_authorized_reference_calibration.pdf,figure,9B,Candidate vs full authorized reference calibration gap,Bound Phase 9A approximation vs full-base exact L2,appendix,Claim 3,ready,"Query calibration subset (~572 queries), not full trace",Label as query calibration; full_base=true on base,True,24992
/home/zhixian/AuthView-VDB/artifacts/figures/main_cost_breakdown_clean.pdf,figure,6,Proof-planning cost breakdown,RQ4 component-level savings,main_paper,Claim 4,ready,Cost model only,Cost-model disclaimer,True,14454
/home/zhixian/AuthView-VDB/artifacts/figures/main_impure_fallback_clean.pdf,figure,6,Impure fallback drives PA_plan,RQ4 purity region analysis,appendix,Claim 4,ready,Cost model only,Appendix subfigure,True,13761
/home/zhixian/AuthView-VDB/artifacts/figures/main_merged_k_knob.pdf,figure,6,Merged-k design knob (SA/PA tradeoff),RQ4 proof-planning cost model,main_paper,Claim 4,ready,"Plaintext cost model, NOT measured ZK gates",Mandatory cost-model disclaimer in caption,True,15284
/home/zhixian/AuthView-VDB/artifacts/figures/main_proof_overhead_gates.pdf,figure,7A,Proof overhead — gates,RQ2 ZK gate count by auth path vs baseline,main_paper,Claim 4,ready,Synthetic micro-workloads; measured ZK,Label V3DB-shaped content-only baseline,True,13197
/home/zhixian/AuthView-VDB/artifacts/figures/main_proof_overhead_size.pdf,figure,7A,Proof overhead — proof size,RQ2 proof size by path,appendix,Claim 4,ready,Synthetic workloads,Optional main if space,True,14333
/home/zhixian/AuthView-VDB/artifacts/figures/main_proof_overhead_time.pdf,figure,7A,Proof overhead — prove/verify time,RQ2 prove and verify latency,main_paper,Claim 4,ready,Synthetic workloads,Same as gates figure,True,14170
/home/zhixian/AuthView-VDB/artifacts/figures/main_proof_scaling_gates.pdf,figure,7C,Proof scaling — gates vs N_sel,RQ6 configuration trade-offs,appendix,Claim 4,ready,Synthetic grid,Cross-ref Table 2,True,16960
/home/zhixian/AuthView-VDB/artifacts/figures/main_proof_scaling_time.pdf,figure,7C,Proof scaling — time vs N_sel,RQ6 scaling latency,appendix,Claim 4,ready,Synthetic grid,Optional main,True,19187
/home/zhixian/AuthView-VDB/artifacts/figures/main_public_utility_recall.pdf,figure,8C,Public IVF-PQ utility (SIFT1M/GIST1M),RQ1 unrestricted baseline recall@k on full public benchmarks,main_paper,Claim 2,ready,Unrestricted utility only; not authorized-view,"Caption: full-base SIFT1M 10k queries, GIST1M 1k queries",True,13971
/home/zhixian/AuthView-VDB/artifacts/figures/main_sa_pa_frontier_clean.pdf,figure,6,SA/PA planning frontier,Design-space overview,internal_only,Claim 4,ready,Oracle off-scale; exploratory,Do not use in main unless revised,True,17453
/home/zhixian/AuthView-VDB/artifacts/tables/table_acl_class_summary.tex,table,7B,ACL-class path summary,RQ3 N_acl sweep,main_paper,,partial,Check repeat count,Table 4 ablation,True,872
/home/zhixian/AuthView-VDB/artifacts/tables/table_auth_overlay_summary.tex,table,9A,Authorization overlay summary,Post-filter vs candidate-level at R@10,main_paper,"Claim 1, Claim 2",ready,candidate_level reference_scope,Caption scope disclaimer,True,4416
/home/zhixian/AuthView-VDB/artifacts/tables/table_authorized_reference_calibration.tex,table,9B,Full authorized reference calibration,Post/candidate/full recall comparison,appendix,Claim 3,ready,Query-calibrated subset; full_base on corpus,Distinguish query calibration vs base truncation,True,4437
/home/zhixian/AuthView-VDB/artifacts/tables/table_proof_overhead.tex,table,7A,Proof overhead by path,RQ2 median gates/time/size,main_paper,Claim 4,ready,Synthetic workloads,Table 2 in blueprint,True,968
/home/zhixian/AuthView-VDB/artifacts/tables/table_proof_scaling_summary.tex,table,7C,Proof scaling summary,RQ6 N_sel scaling,appendix,Claim 4,ready,Synthetic grid,Appendix scaling,True,820
/home/zhixian/AuthView-VDB/artifacts/tables/table_public_utility_summary.tex,table,8C,Public utility baseline summary,Full-base SIFT1M/GIST1M IVF-PQ recall and QPS,main_paper,Claim 2,ready,Unrestricted baseline; V3DB-aligned configs,Table 1 / RQ1 setup,True,679
